Rank,Stadium,Seating Capacity,Region,Country,City,Images,Home Team
141,Carter–Finley Stadium,"57,583",North America,United States,"Raleigh, North Carolina",https://en.wikipedia.org/wiki/File:Estadio_Kempes_luego_de_finalizar_un_partido.jpg,"Talleres de Córdoba, someBelgrano de Córdobamatches."
142,Estadio Alberto J. Armando,"57,200",South America,Argentina,Buenos Aires,https://en.wikipedia.org/wiki/File:JinanOlympic.JPG,Shandong Taishan
143,Volksparkstadion,"57,030",Europe,Germany,Hamburg,https://en.wikipedia.org/wiki/File:Estadio_Jalisco_06022022.jpg,Atlas
144,Estadio Mario Alberto Kempes,"57,000",South America,Argentina,Córdoba,https://en.wikipedia.org/wiki/File:Commonwealth_Stadium.jpg,"Edmonton Elks,Canadian men'sandwomen'snational teams"
145,Jinan Olympic Sports Centre Stadium,"56,808",East Asia,China,"Jinan,Shandong",https://en.wikipedia.org/wiki/File:Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg,Los Angeles Dodgers
146,Estadio Jalisco,"56,713",North America,Mexico,"Guadalajara, Jalisco",https://en.wikipedia.org/wiki/File:Annaba_Stadium.jpg,USM Annaba
147,Commonwealth Stadium,"56,302",North America,Canada,"Edmonton, Alberta","https://en.wikipedia.org/wiki/File:Estadi_Ol%C3%ADmpic_Llu%C3%ADs_Companys_-_Barcelona,_Spain_-_Jan_2007.jpg",
148,Dodger Stadium,"56,000",North America,United States,Los Angeles,https://en.wikipedia.org/wiki/File:Arena_do_Gr%C3%AAmio.jpg,Grêmio FBPA
149,Stade du 19-mai-1956,"56,000",Africa,Algeria,Annaba,https://en.wikipedia.org/wiki/File:Stadionul_National_-_National_Arena_3.jpg,Romania national football team
150,Estadi Olímpic Lluís Companys,"55,926",Europe,Spain,"Barcelona, Catalonia",https://en.wikipedia.org/wiki/File:Zvezda_stadion.jpg,"Red Star Belgrade,Serbia national football team"
151,Arena do Grêmio,"55,662",South America,Brazil,"Porto Alegre, Rio Grande do Sul",https://en.wikipedia.org/wiki/File:Widok_bramka.jpg,"Poland national football team,Ruch Chorzów"
152,Arena Națională,"55,634",Europe,Romania,Bucharest,https://en.wikipedia.org/wiki/File:Etihad_Stadium.jpg,Manchester City
153,Stadion Rajko Mitić,"55,538",Europe,Serbia,Belgrade,https://en.wikipedia.org/wiki/File:CAMP_DE_MESTALLA_GRADA_DE_LA_MAR_2014_(2).JPG,Valencia CF
154,Stadion Śląski,"55,211",Europe,Poland,Chorzów,https://en.wikipedia.org/wiki/File:SingaporeNationalStadiumJapanBrazilFootball.jpg,Singapore national football team
